query_id,treatment_id,parent_node,Async Capable,Parent Relationship,Parallel Aware,Node Type,Plan Rows,Output,input_rows,output_rows,left_child_input_actual_rows,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,Peak Memory Usage,Original Hash Buckets,Original Hash Batches,shared_read_blocks_log,run_id,execution_log_time,dbname,data_folder_name
6709,0,Hash Join,False,Inner,False,Hash,7496,"['posttags.postid', 'tags.tagname']",0,0,0,7496,0.0,0.0,0.0004999999999999751,1.0,17.0,0.0,0.0,0.0,0.0,8.0,1024.0,8.0,1.255272505103306,0,0.00021709297223018438,mathso,ce_mathso
6709,6,Hash Join,False,Inner,False,Hash,4,"['tags.tagname', 'tags.id']",0,0,0,4,0.0,0.0,0.0023333333333333665,1.0,16.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,1.2304489213782739,0,0.001012173380855079,mathso,ce_mathso
6709,6,Hash Join,False,Inner,False,Hash,7496,"['posttags.postid', 'tags.tagname']",0,0,0,7496,0.0,0.0,0.0006666666666665334,1.0,17.0,0.0,0.0,0.0,0.0,64.0,8192.0,1.0,1.255272505103306,0,0.0002894331875891156,mathso,ce_mathso
6710,0,Hash Join,False,Inner,False,Hash,4,"['tags.tagname', 'tags.id']",0,0,0,4,0.0,0.0,0.0035,1.0,16.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,1.2304489213782739,0,0.0015173768235043782,mathso,ce_mathso
6710,0,Hash Join,False,Inner,False,Hash,7496,"['posttags.postid', 'tags.tagname']",0,0,0,7496,0.0,0.0,0.0005000000000001,1.0,17.0,0.0,0.0,0.0,0.0,8.0,1024.0,8.0,1.255272505103306,0,0.00021709297223028077,mathso,ce_mathso
6710,6,Hash Join,False,Inner,False,Hash,4,"['tags.tagname', 'tags.id']",0,0,0,4,0.0,0.0,0.0029999999999999333,1.0,16.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,1.2304489213782739,0,0.001300933020418072,mathso,ce_mathso
6710,6,Hash Join,False,Inner,False,Hash,7496,"['posttags.postid', 'tags.tagname']",0,0,0,7496,0.0,0.0,0.00033333333333336666,1.0,17.0,0.0,0.0,0.0,0.0,64.0,8192.0,1.0,1.255272505103306,0,0.00014474070519017137,mathso,ce_mathso
6765,0,Hash Join,False,Inner,False,Hash,247811,"['votes.postid', '(sum(CASE WHEN (votes.votetypeid = 2) THEN 1 ELSE 0 END))', '(sum(CASE WHEN (votes.votetypeid = 3) THEN 1 ELSE 0 END))']",514249,514249,514249,247811,0.0,0.0,190.29028571428586,1.0,79646.0,0.0,0.0,191042.0,207978.0,64.0,1024.0,256.0,4.901169422221485,0,2.2816929158307326,mathso,ce_mathso
6765,6,Hash Join,False,Inner,False,Hash,247811,"['votes.postid', '(sum(CASE WHEN (votes.votetypeid = 2) THEN 1 ELSE 0 END))', '(sum(CASE WHEN (votes.votetypeid = 3) THEN 1 ELSE 0 END))']",514249,514249,514249,247811,0.0,0.0,122.26157142857171,1.0,79646.0,0.0,0.0,53974.0,79571.0,32219.0,262144.0,1.0,4.901169422221485,0,2.0908277001333158,mathso,ce_mathso
7083,0,Hash Join,False,Inner,False,Hash,952172,"['u.reputation', 'u.id']",952172,952172,952172,952172,0.0,0.0,362.15414285714286,1.0,22739.0,0.0,0.0,0.0,3031.0,53.0,2048.0,1024.0,4.356790460351716,0,2.560091002950763,mathso,ce_mathso
7083,6,Hash Join,False,Inner,False,Hash,952172,"['u.reputation', 'u.id']",952172,952172,952172,952172,0.0,0.0,206.45557142857143,1.0,22739.0,0.0,0.0,0.0,0.0,45387.0,1048576.0,1.0,4.356790460351716,0,2.3169251027378706,mathso,ce_mathso
7085,0,Hash Join,False,Inner,False,Hash,703476,"['u.reputation', 'u.id']",704949,704949,704949,703476,0.0,0.0,293.13800000000003,1.0,22739.0,0.0,0.0,0.0,2046.0,43.0,2048.0,1024.0,4.356790460351716,0,2.4685511350961007,mathso,ce_mathso
7085,6,Hash Join,False,Inner,False,Hash,703476,"['u.reputation', 'u.id']",704949,704949,704949,703476,0.0,0.0,156.06757142857143,1.0,22739.0,0.0,0.0,0.0,0.0,35730.0,1048576.0,1.0,4.356790460351716,0,2.1960865287485016,mathso,ce_mathso
7353,0,Hash Join,False,Inner,False,Hash,114,"['a.score', 'a.id', 'a.owneruserid']",0,0,0,114,0.0,0.0,0.0030000000000427,1.0,60168.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.77937279364072,0,0.0013009330204366276,mathso,ce_mathso
7353,9,Hash Join,False,Inner,False,Hash,114,"['a.score', 'a.id', 'a.owneruserid']",0,0,0,114,0.0,0.0,0.0040000000000190335,1.0,60168.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.77937279364072,0,0.0017337128090087915,mathso,ce_mathso
7521,0,Hash Join,False,Inner,False,Hash,65,"['a.id', 'a.score']",0,0,0,65,0.0,0.0,0.002999999999929,1.0,60168.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.77937279364072,0,0.0013009330203874018,mathso,ce_mathso
7521,9,Hash Join,False,Inner,False,Hash,65,"['a.id', 'a.score']",0,0,0,65,0.0,0.0,0.0029999999999669002,1.0,60168.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.77937279364072,0,0.0013009330204037464,mathso,ce_mathso
8196,0,Hash Join,False,Inner,False,Hash,65,['a.parentid'],2,2,2,65,0.0,0.0,0.0169999999999959,1.0,60168.0,0.0,0.0,0.0,0.0,9.0,1024.0,1.0,4.77937279364072,0,0.0073209529227428495,mathso,ce_mathso
8196,9,Hash Join,False,Inner,False,Hash,65,['a.parentid'],2,2,2,65,0.0,0.0,0.02299999999998742,1.0,36102.4,0.0,0.0,0.0,0.0,9.0,1024.0,1.0,4.557548103060993,0,0.00987563371215484,mathso,ce_mathso
8196,18,Hash Join,False,Inner,False,Hash,65,['a.parentid'],2,2,2,65,0.0,0.0,0.01649999999999995,1.0,4.0,0.0,0.0,0.0,0.0,9.0,1024.0,1.0,0.6989700043360189,0,0.00710738297405739,mathso,ce_mathso
