query_id,treatment_id,parent_node,Parent Relationship,Join Type,Parallel Aware,Hash Cond,Node Type,Plan Rows,Output,Plan Width,Join Filter,left_child_input_actual_rows,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,output_rows,input_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,execution_log_time,shared_read_blocks_log,run_id,dbname,data_folder_name
80981,18,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.019999999999999997,1.0,17.0,0.0,0.0,0.0,0.0,0.00860017176191757,1.255272505103306,0,mathso,ce_mathso
80981,24,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.024,1.0,17.0,0.0,0.0,0.0,0.0,0.010299956639811961,1.255272505103306,0,mathso,ce_mathso
80982,0,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.036,1.0,18.0,0.0,0.0,0.0,0.0,0.015359755409214231,1.2787536009528289,0,mathso,ce_mathso
80982,0,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,1874,['posttags.postid'],4,0,1,3641094,0,1,0,1,0.0170000000000001,1.0,17.0,0.0,0.0,0.0,0.0,0.007320952922744651,1.255272505103306,0,mathso,ce_mathso
80982,9,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.02200000000000004,1.0,17.6,0.0,0.0,0.0,0.0,0.009450895798693935,1.2695129442179163,0,mathso,ce_mathso
80982,9,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,1874,['posttags.postid'],4,0,1,3641094,0,1,0,1,0.010666666666666567,1.0,17.0,0.0,0.0,0.0,0.0,0.004607942240353462,1.255272505103306,0,mathso,ce_mathso
80982,18,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.022,1.0,17.0,0.0,0.0,0.0,0.0,0.009450895798693935,1.255272505103306,0,mathso,ce_mathso
80982,24,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.02449999999999985,1.0,17.0,0.0,0.0,0.0,0.0,0.010511962737213698,1.255272505103306,0,mathso,ce_mathso
80983,0,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.022,1.0,18.0,0.0,0.0,0.0,0.0,0.009450895798693935,1.2787536009528289,0,mathso,ce_mathso
80983,0,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,1874,['posttags.postid'],4,0,1,3641094,0,1,0,1,0.0149999999999999,1.0,17.0,0.0,0.0,0.0,0.0,0.006466042249231681,1.255272505103306,0,mathso,ce_mathso
80983,9,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.021200000000000004,1.0,17.6,0.0,0.0,0.0,0.0,0.009110806132212749,1.2695129442179163,0,mathso,ce_mathso
80983,9,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,1874,['posttags.postid'],4,0,1,3641094,0,1,0,1,0.011666666666666768,1.0,17.0,0.0,0.0,0.0,0.0,0.005037440691613969,1.255272505103306,0,mathso,ce_mathso
80983,18,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.02149999999999995,1.0,17.0,0.0,0.0,0.0,0.0,0.009238370968466338,1.255272505103306,0,mathso,ce_mathso
80983,24,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.0250000000000001,1.0,17.0,0.0,0.0,0.0,0.0,0.01072386539177316,1.255272505103306,0,mathso,ce_mathso
80984,0,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,1874,['posttags.postid'],4,0,1,3641094,0,1,0,1,0.0099999999999997,1.0,17.0,0.0,0.0,0.0,0.0,0.004321373782642483,1.255272505103306,0,mathso,ce_mathso
80984,0,Limit,Outer,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.0319999999999998,1.0,18.0,0.0,0.0,0.0,0.0,0.013679697291192467,1.2787536009528289,0,mathso,ce_mathso
80984,9,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,1874,['posttags.postid'],4,0,1,3641094,0,1,0,1,0.012333333333333266,1.0,17.0,0.0,0.0,0.0,0.0,0.00532353719860276,1.255272505103306,0,mathso,ce_mathso
80984,9,Limit,Outer,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.020666666666666667,1.0,18.0,0.0,0.0,0.0,0.0,0.008883931642579761,1.2787536009528289,0,mathso,ce_mathso
80984,24,Limit,Outer,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.02,1.0,17.0,0.0,0.0,0.0,0.0,0.00860017176191757,1.255272505103306,0,mathso,ce_mathso
80988,0,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,348,"['h.postid', 'p.score', 'h.posthistorytypeid', 'h.creationdate']",20,0,1,10754757,0,115,0,1,0.0149999999999863,1.0,60170.0,0.0,0.0,0.0,0.0,0.0064660422492258856,4.779387229222635,0,mathso,ce_mathso
80988,9,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,348,"['h.postid', 'p.score', 'h.posthistorytypeid', 'h.creationdate']",20,0,1,10754757,0,115,0,1,0.013666666666665599,1.0,60170.0,0.0,0.0,0.0,0.0,0.00589516542446927,4.779387229222635,0,mathso,ce_mathso
80990,0,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,2,"['h.postid', 'p.score', 'h.posthistorytypeid', 'h.creationdate']",20,0,1,67755,0,115,0,1,0.0149999999999863,1.0,60224.0,0.0,0.0,0.0,0.0,0.0064660422492258856,4.779776808670381,0,mathso,ce_mathso
80990,9,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,2,"['h.postid', 'p.score', 'h.posthistorytypeid', 'h.creationdate']",20,0,1,67755,0,115,0,1,0.012333333333363767,1.0,60224.0,0.0,0.0,0.0,0.0,0.00532353719861581,4.779776808670381,0,mathso,ce_mathso
80991,0,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,348,"['h.postid', 'p.score', 'h.posthistorytypeid', 'h.creationdate']",20,0,1,10754757,0,115,0,1,0.0129999999999768,1.0,60170.0,0.0,0.0,0.0,0.0,0.0056094453602704855,4.779387229222635,0,mathso,ce_mathso
80991,9,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,348,"['h.postid', 'p.score', 'h.posthistorytypeid', 'h.creationdate']",20,0,1,10754757,0,115,0,1,0.017999999999972233,1.0,60170.0,0.0,0.0,0.0,0.0,0.007747778000728108,4.779387229222635,0,mathso,ce_mathso
81122,0,Aggregate,Outer,Inner,False,(ph.postid = p.id),Hash Join,1690,['p.closeddate'],8,0,0,1690,0,3557569,0,0,0.0040000000003601,1.0,684968.0,0.0,0.0,0.0,0.0,0.0017337128091563221,5.835670916844851,0,mathso,ce_mathso
81122,9,Aggregate,Outer,Inner,False,(ph.postid = p.id),Hash Join,1690,['p.closeddate'],8,0,0,1690,0,3557569,0,0,0.00420000000001526,1.0,410982.0,0.0,0.0,0.0,0.0,0.0018202170383347252,5.613823857985834,0,mathso,ce_mathso
81122,18,Aggregate,Outer,Inner,False,(ph.postid = p.id),Hash Join,1690,['p.closeddate'],8,0,0,1690,0,3557569,0,0,0.003,1.0,3.0,0.0,0.0,0.0,0.0,0.001300933020418072,0.6020599913279624,0,mathso,ce_mathso
81122,24,Aggregate,Outer,Inner,False,(ph.postid = p.id),Hash Join,1690,['p.closeddate'],8,0,0,1690,0,3557569,0,0,0.0035,1.0,3.0,0.0,0.0,0.0,0.0,0.0015173768235043782,0.6020599913279624,0,mathso,ce_mathso
81267,0,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,204,"['tags.tagname', 'posts.id']",20,0,0,204,1943,1943,0,1943,0.3522499999999979,1.0,60186.0,0.0,0.0,0.0,6.0,0.13105699011410135,4.7795026966074605,0,mathso,ce_mathso
81267,0,Hash Join,Outer,Inner,False,(posttags.postid = posts.parentid),Hash Join,204,"['posttags.tagid', 'posts.id']",8,0,1,3641094,0,115,0,1,0.016999999999995876,1.0,60170.0,0.0,0.0,0.0,0.0,0.0073209529227428495,4.779387229222635,0,mathso,ce_mathso
81267,0,Sort,Outer,Inner,False,(votes.postid = posts.id),Hash Join,477,['tags.tagname'],16,0,1,8317209,0,204,0,1,0.01425000000000405,1.0,60187.0,0.0,0.0,0.0,6.0,0.006145016376365548,4.779509912299787,0,mathso,ce_mathso
81267,6,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,204,"['tags.tagname', 'posts.id']",20,0,0,204,1943,1943,0,1943,0.012000000000000432,1.0,60186.0,0.0,0.0,0.0,0.0,0.005180512503780505,4.7795026966074605,0,mathso,ce_mathso
81267,6,Hash Join,Outer,Inner,False,(posttags.postid = posts.parentid),Hash Join,204,"['posttags.tagid', 'posts.id']",8,0,1,3641094,0,115,0,1,0.011333333333330566,1.0,60170.0,0.0,0.0,0.0,0.0,0.004894321731048046,4.779387229222635,0,mathso,ce_mathso
81267,6,Sort,Outer,Inner,False,(votes.postid = posts.id),Hash Join,477,['tags.tagname'],16,0,1,8317209,0,204,0,1,0.012333333333344833,1.0,60187.0,0.0,0.0,0.0,0.0,0.005323537198607713,4.779509912299787,0,mathso,ce_mathso
81268,0,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,204,"['tags.tagname', 'posts.id']",20,0,0,204,1943,1943,0,1943,0.7437500000000199,1.0,60186.0,0.0,0.0,0.0,6.0,0.24148422061767774,4.7795026966074605,0,mathso,ce_mathso
81268,0,Hash Join,Outer,Inner,False,(posttags.postid = posts.parentid),Hash Join,204,"['posttags.tagid', 'posts.id']",8,0,1,3641094,0,115,0,1,0.014999999999957901,1.0,60170.0,0.0,0.0,0.0,0.0,0.006466042249213724,4.779387229222635,0,mathso,ce_mathso
81268,0,Sort,Outer,Inner,False,(votes.postid = posts.id),Hash Join,477,['tags.tagname'],16,0,1,8317209,0,204,0,1,0.017000000000010076,1.0,60187.0,0.0,0.0,0.0,6.0,0.0073209529227489184,4.779509912299787,0,mathso,ce_mathso
